15 6056 20258
0 0 -0.0806551 -0.315698
1 0 -0.0521304 -0.344226
0 1 -0.260972 -0.314679
1 1 -0.227353 -0.35849
0 2 -0.0755614 -0.300415
1 2 -0.046018 -0.328943
0 2 -0.0735239 -0.298377
0 3 -0.240597 -0.297358
1 3 -0.207997 -0.342188
0 4 -0.252822 -0.292264
1 4 -0.220222 -0.338113
0 5 -0.0847301 -0.292264
1 5 -0.0562054 -0.32283
0 6 -0.236522 -0.280037
1 6 -0.204941 -0.325886
0 7 -0.227353 -0.278
1 7 -0.195773 -0.32283
0 8 -0.22226 -0.278
1 8 -0.190679 -0.323849
0 8 -0.220222 -0.278
0 7 -0.225316 -0.276981
0 9 -0.213091 -0.270868
1 9 -0.182529 -0.315698
0 10 -0.0511117 -0.26883
1 10 -0.0246245 -0.300415
0 11 -0.224297 -0.263736
1 11 -0.194754 -0.310603
0 12 -0.0164746 -0.251509
1 12 0.00797512 -0.283094
0 13 -0.174379 -0.246415
1 13 -0.146873 -0.290226
0 14 -0.18966 -0.245396
1 14 -0.161135 -0.291245
0 15 -0.0307369 -0.24234
1 15 -0.00628722 -0.275962
0 16 -0.177435 -0.239283
1 16 -0.149929 -0.285132
0 17 -0.18151 -0.236226
1 17 -0.154004 -0.282075
0 18 -0.166229 -0.235208
1 18 -0.139742 -0.280037
0 19 -0.167248 -0.232151
1 19 -0.138723 -0.278
0 20 -0.180491 -0.225019
1 20 -0.152986 -0.271887
0 21 -0.185585 -0.222981
1 21 -0.158079 -0.270868
0 22 0.146523 -0.216868
1 22 0.166898 -0.256604
0 23 -0.0134184 -0.186302
1 23 0.00899385 -0.222981
0 24 -0.144836 -0.184264
1 24 -0.119775 -0.231336
0 25 0.0140875 -0.174076
1 25 0.035481 -0.210755
0 26 -0.000174789 -0.165925
1 26 0.0212187 -0.203623
0 27 0.0140875 -0.164906
1 27 0.035481 -0.202604
0 28 -0.0847301 -0.162868
1 28 -0.0623178 -0.207698
